DATE,TOTALSA
9/1/17,18.318
10/1/17,18.484
11/1/17,17.995
12/1/17,17.903
1/1/18,17.508
2/1/18,17.461
3/1/18,17.628
4/1/18,17.651
5/1/18,17.558
6/1/18,17.571
7/1/18,17.456
8/1/18,17.39
9/1/18,17.828
10/1/18,18.299
11/1/18,18.02
12/1/18,18.167
1/1/19,17.291
2/1/19,16.968
3/1/19,17.733
4/1/19,16.898
5/1/19,17.725
6/1/19,17.68
7/1/19,17.551
8/1/19,17.635
9/1/19,17.77
10/1/19,17.425
11/1/19,17.645
12/1/19,17.54
1/1/20,17.314
2/1/20,17.061
3/1/20,11.68
4/1/20,8.923
5/1/20,12.328
6/1/20,13.271
7/1/20,15.075
8/1/20,15.704
9/1/20,16.692
10/1/20,17.084
11/1/20,16.492
12/1/20,16.927
1/1/21,17.327
2/1/21,16.106
3/1/21,18.223
4/1/21,18.655
5/1/21,17.177
6/1/21,15.757
7/1/21,15.067
8/1/21,13.486
9/1/21,12.731
10/1/21,13.662
11/1/21,13.542
12/1/21,13.173
1/1/22,15.549
2/1/22,14.164
3/1/22,14.003
4/1/22,14.74
5/1/22,13.044
6/1/22,13.523
7/1/22,13.756
8/1/22,13.621
9/1/22,13.996
